csv_suffix,column_name,description,no_longer_used,dap_version,userguide_version,date_first_introduced,person_first_introduced
PDTs,MinTemp11,Minimum temp observed at corresponding depth.,0,3.0.501.0,201903,,
PDTs,MaxTemp11,Maximum temp observed at corresponding depth.,0,3.0.501.0,201903,,
PDTs,%Ox11,Percent Oxygen at the corresponding depth.,0,3.0.501.0,201903,,
PDTs,Discont11,This represents whether or not there was a discontinuity at this depth. 1 = discontinuity. 0 = no discontinuity.,0,3.0.501.0,201903,,
PDTs,Depth12,The depth at which a series of readings were taken. ,0,3.0.501.0,201903,,
PDTs,MinTemp12,Minimum temp observed at corresponding depth.,0,3.0.501.0,201903,,
PDTs,MaxTemp12,Maximum temp observed at corresponding depth.,0,3.0.501.0,201903,,
PDTs,%Ox12,Percent Oxygen at the corresponding depth.,0,3.0.501.0,201903,,
PDTs,Discont12,This represents whether or not there was a discontinuity at this depth. 1 = discontinuity. 0 = no discontinuity.,0,3.0.501.0,201903,,
PDTs,Depth13,The depth at which a series of readings were taken. ,0,3.0.501.0,201903,,
PDTs,MinTemp13,Minimum temp observed at corresponding depth.,0,3.0.501.0,201903,,
PDTs,MaxTemp13,Maximum temp observed at corresponding depth.,0,3.0.501.0,201903,,
PDTs,%Ox13,Percent Oxygen at the corresponding depth.,0,3.0.501.0,201903,,
PDTs,Discont13,This represents whether or not there was a discontinuity at this depth. 1 = discontinuity. 0 = no discontinuity.,0,3.0.501.0,201903,,
PDTs,Depth14,The depth at which a series of readings were taken. ,0,3.0.501.0,201903,,
PDTs,MinTemp14,Minimum temp observed at corresponding depth.,0,3.0.501.0,201903,,
PDTs,MaxTemp14,Maximum temp observed at corresponding depth.,0,3.0.501.0,201903,,
PDTs,%Ox14,Percent Oxygen at the corresponding depth.,0,3.0.501.0,201903,,
PDTs,Discont14,This represents whether or not there was a discontinuity at this depth. 1 = discontinuity. 0 = no discontinuity.,0,3.0.501.0,201903,,
PDTs,Depth15,The depth at which a series of readings were taken. ,0,3.0.501.0,201903,,
PDTs,MinTemp15,Minimum temp observed at corresponding depth.,0,3.0.501.0,201903,,
PDTs,MaxTemp15,Maximum temp observed at corresponding depth.,0,3.0.501.0,201903,,
PDTs,%Ox15,Percent Oxygen at the corresponding depth.,0,3.0.501.0,201903,,
PDTs,Discont15,This represents whether or not there was a discontinuity at this depth. 1 = discontinuity. 0 = no discontinuity.,0,3.0.501.0,201903,,
PDTs,Depth16,The depth at which a series of readings were taken. ,0,3.0.501.0,201903,,
PDTs,MinTemp16,Minimum temp observed at corresponding depth.,0,3.0.501.0,201903,,
PDTs,MaxTemp16,Maximum temp observed at corresponding depth.,0,3.0.501.0,201903,,
PDTs,%Ox16,Percent Oxygen at the corresponding depth.,0,3.0.501.0,201903,,
PDTs,Discont16,This represents whether or not there was a discontinuity at this depth. 1 = discontinuity. 0 = no discontinuity.,0,3.0.501.0,201903,,
